data_base,cnpj_raiz,nome_instituicao,ente_destino,conta,saldo,arquivo,linha_arquivo,sha256_arquivo
202507,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,4662879690.7,202507BANCOS.CSV,1067,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1699055858.32,202507BANCOS.CSV,1068,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,368923024023.63,202507BANCOS.CSV,1653,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5302372559.11,202507BANCOS.CSV,1654,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1085211863.61,202507BANCOS.CSV,1655,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202508,28127603,BCO BANESTES S.A.,Municipios,9090900001,480506866.26,202508BANCOS.CSV,21058,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60907261025.87,202508BANCOS.CSV,598,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22072899383.57,202508BANCOS.CSV,599,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,211297866.14,202508BANCOS.CSV,16235,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13685093.06,202508BANCOS.CSV,16236,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202508BANCOS.CSV,49157,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,112597206.69,202508BANCOS.CSV,49158,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,4657152239.07,202508BANCOS.CSV,1069,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1699139222.92,202508BANCOS.CSV,1070,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,372189407606.63,202508BANCOS.CSV,1650,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5330411700.28,202508BANCOS.CSV,1651,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202508,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1091730292.06,202508BANCOS.CSV,1652,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658
202509,28127603,BCO BANESTES S.A.,Municipios,9090900001,483059573.4,202509BANCOS.CSV,21258,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60498441025.98,202509BANCOS.CSV,598,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,21960543438.9,202509BANCOS.CSV,599,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,209226445.13,202509BANCOS.CSV,16386,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13596433.51,202509BANCOS.CSV,16387,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202509BANCOS.CSV,49349,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,113751626.77,202509BANCOS.CSV,49350,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,5865791362.37,202509BANCOS.CSV,1074,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1786199948.11,202509BANCOS.CSV,1075,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,374704710353.24,202509BANCOS.CSV,1659,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5362880739.68,202509BANCOS.CSV,1660,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202509,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1093161947.28,202509BANCOS.CSV,1661,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203
202510,28127603,BCO BANESTES S.A.,Municipios,9090900001,485006448.6,202510BANCOS.CSV,20952,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60490025498.74,202510BANCOS.CSV,600,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,21929083856.02,202510BANCOS.CSV,601,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,207092446.34,202510BANCOS.CSV,16050,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13658976.54,202510BANCOS.CSV,16051,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202510BANCOS.CSV,49247,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,114625314.13,202510BANCOS.CSV,49248,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,378159489973.96,202510BANCOS.CSV,1200,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202510,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5394131474.91,202510BANCOS.CSV,1201,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
