data_base,cnpj_raiz,nome_instituicao,conta,nome_conta,saldo,arquivo,linha_arquivo,sha256_arquivo,fonte
202501,60701190,ITAÚ UNIBANCO S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,18455603.22,202501BANCOS.CSV,37867,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,60701190,ITAÚ UNIBANCO S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-118319.74,202501BANCOS.CSV,38075,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202502,92894922,BANCO ORIGINAL,1899800001,(-) PROVISÃO PARA PERDAS DE CRÉDITO EM RESTITUIÇÃO DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS,-5654.48,202502BANCOS.CSV,50337,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,28195667,BCO ABC BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,1585216.03,202502BANCOS.CSV,21564,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,28195667,BCO ABC BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-19331.4,202502BANCOS.CSV,21701,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,28127603,BCO BANESTES S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,4061059087.85,202502BANCOS.CSV,20846,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,28127603,BCO BANESTES S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-71295604.55,202502BANCOS.CSV,20978,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,28127603,BCO BANESTES S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,477569416.65,202502BANCOS.CSV,21051,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,61186680,BCO BMG S.A.,1899800001,(-) PROVISÃO PARA PERDAS DE CRÉDITO EM RESTITUIÇÃO DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS,-533649.66,202502BANCOS.CSV,42192,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,60746948,BCO BRADESCO S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,262210160.28,202502BANCOS.CSV,38895,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,60746948,BCO BRADESCO S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-3253337.93,202502BANCOS.CSV,39094,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,04902979,BCO DA AMAZONIA S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,79582616.19,202502BANCOS.CSV,9506,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,04902979,BCO DA AMAZONIA S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-979967.25,202502BANCOS.CSV,9628,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000000,BCO DO BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,247469928052.21,202502BANCOS.CSV,275,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000000,BCO DO BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-4198377871.07,202502BANCOS.CSV,480,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000000,BCO DO BRASIL S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,59441555381.91,202502BANCOS.CSV,587,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000000,BCO DO BRASIL S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,22297391452.15,202502BANCOS.CSV,588,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,13009717,BCO DO EST. DE SE S.A.,1899800001,(-) PROVISÃO PARA PERDAS DE CRÉDITO EM RESTITUIÇÃO DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS,-24476.7,202502BANCOS.CSV,15977,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,13009717,BCO DO EST. DE SE S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,1906379618.86,202502BANCOS.CSV,16095,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,13009717,BCO DO EST. DE SE S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-27519310.78,202502BANCOS.CSV,16210,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
